item	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	20	21	22	23	24	25	26	27	28	29	30
1	4	3	4			3		3		4				5	4	3		3			4		5			3		4	3
2	4	3			2	3	3		2	5	3	3		3	4	5		2	2	3	4	2	4	3	2		2	4	4
3	4	3.5			3	3	3	2	2	4	3	2		3	3	3		2	2	3	3	3	4		2		4	3	3
4	4	2.5	3	4		2.5		2				4		5	4	4		3.5	3				3	4		2			2
5		3.5			3	3	3	4		2				3				3			2	2	4		3	2	3		2
6	5	5	4.5			2	5	4	5	5	3.5	4	3	5	5		5	5		4	4	4	4		3	5		5	5
7	4	5					5	4	5	5	3	4	3	5	5		5	5		4	2.5	4	4		4	5		4	5
8	5	5	4		4	4	3.5	3	3	5	5	5	5	4	5			4	4	5		4	5	4	4		3	3	5
9	5	5	4	2			4	2			4	2	4	2	5	2	4	4	3	3	3	3	5		3			4	5
10	4	3.5	4.5		4	5	4	3.5		5	5	5	5	3	5			5	5	5		4	5	5	4		4	3	4
11	3	5	3.5			5	4	2.5		5	3.5	5	5	2	4	3	4	5	5	2			4	4	2	3.5		3	4
12	4	3.5	3	3	3	2	3.5		4	3	3.5	3		2	5	4		4	4	4	4	3	4	2	4		4	3	4
13	4	3												2	3	4	4	3	3	3	2	4	3		2	2			
14	3							3						2	3	4							3	4	2				
15	4	4	3.5		4	5	3	3.5		4	5	2	5	3	5			4.5	4	5		4	5	4	4		4	3	4
16	4						4.5	2		5		3		5	5			4	4	4			4					4	5
17	4	4	4			3	4	2			3	4	5	4	4	2	4.5	3.5	3	3	3	3	5	3.5		2		4	5
18	4	5												4	4			2			2		2		2		3		
19												2		3				4					3	3					3
20	4	2.5						3			3.5	3	2	2	5	2		4					3			4	4		2
21	5	5	4.5	5	4	3		3	5	4	3.5	5	4		5	4	5	5	4	5	3	5	5	4	4	4	4	5	5
22	4	5					4	3.5						4		5		5		3			3		4	4		4	4
23		3										4	3	3		4							4		2				
24	5	5			4.5	2	3.5	4		3	4.5	5	3	4	2	3		4	4	4	3.5	3	5	4	5	3		5	3
25								4		3				4		4		3.5	3		4		3			5			
26	4					2	2.5							2	3	2		3					4						
27	4	5					4	3	4	4		3		5	3		3	5		4	2	3	5			5			5
28												5		3		2		3.5					3			3.5			
29	4								3	4	4			2	3	3		3.5	4	3	2		3	3.5	3			4	2
30	5				3.5	2	3.5				2		2	2	5	4		4				4	5		4		3	4	
31	5						3				2	4	2	2		5							4						
32	4						4							3				3.5					2			5			3
33	4	5	3.5	4	2.5	3.5	4	2	2	3	4		5	2	5	5		4	4	4	3.5	5	4	2	4	2	4	5	4
34	4	4					4					3						4.5					2						
35	5	4.5	3			2	4	4	5	2	3	4	4		5	2		4	5	5	4		5		5	4	4	4	2
36	5	5		5	3.5	3.5	4.5	2	4	5	4	5	2	3	5	3	5	5	5	4	3	5	5	5	4	4.5		5	5
37	4	2												4	5			3					2					3	4
38	4	5		5	3	3	4.5	2	5	4	3.5	3	4	4	5	5		4.5	3	4	4.5	5	5		4	3	5	5	5
39	4	5	4.5			3.5	4.5	3		5	3.5	5	4	4	5	3		5	4.5	4			4		5	3	4	5	5
40	4	4.5				3			3	5			5	3	5	2		5	4.5	3	3.5		5	3	5		3	4	3
41	4	5				5	5	4.5	5	3	4.5			3	5	5		3.5		4			4		5			5	4
42	4	5			4		4							3	3	4		3.5			3		3		4			2	4
43	4						3.5	5		5				3	4			5		4			3		4	4.5			
44	4	3.5		5			2.5	3		3.5	4.5	5	2	4		4	3	3.5	2.5	4	4	3	5		2	4	3	3	3
45	4	2.5		4	3		3	2	2	3.5	4.5	5	2	4	4	3	3	4	3.5	5	2.5	3	4		3	2	4	2	2
46									2			2		5									4			5			
47	4	5												2	5								3			5			
48	4.5	5				5		3		4								4	4				5		5	3		5	3
49												3											3		2			5	3
50	3																						3			4			
51	5	5		5	3.5	4	4	4	3	4				5	2		4	4	3.5				2		5	3	2	5	
52									3					3									2		3	4			
53		3.5			4		4	4	3	5		5		4	3			4.5	4.5	3			2	4	5	4			
54														4									3		2				
55	3	5		5		3	3.5	2	5		4	5	4	3	3	2	3	3.5	2.5	4	3	4	4	2	3	5		4	4
56	5	4	4.5			4.5	4	5	5	5			4	4	4	3		4	3		4.5		5		4	2		5	5
57	3	4				3		2		3.5	4.5	3	3	2	4	2		4		4	4	4	5	2		2		4	
58	5	5	5	4	4.5	4	5	4		5	5	5	5	5	5	4		5	5	3	2	5	5	5	4		3	5	5
59	3	2.5			2.5	3		3		3.5			2	5	4			4	2	3			5	2	2	3		3	2
