item	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	20	21	22	23	24	25	26	27	28	29	30
132	4				3							1		3				3.5					4		5				
133	3.5							2				5	3	4			4	3.5			2		5	1		4		4	1
134		5			3.5					4.5	1.5	5	3	4					3.5	4			5		4				
135	4	4				5		4.5						4	4	2		5			4		5		4	4		5	
136					3.5									3		5	4	3.5	3.5	4			5		2	1	5		
137	3.5	5	1.5	5		3		3.5		3.5	2		4			5		4	4				4	1	4	2	5		
138				4		1						2						3.5					3			2			
139	3.5				3.5	1		3						2				3.5								4			
140		4	3.5		3.5	4		4		5	4	5	5		5		5	4	2	3	1		5	3.5		1			
141	4	5					4.5			5	4	4	5	5	4					4			5		5			5	3
142	3			5	4		3				4	4	3	4	3	4		3.5	3.5				5	1	3		4	5	3
143	5	4			4.5	3			4		3.5	3	2		5					1	5	4	5	3	5	4.5		4	2
144										4.5						4		5								3.5			1
145	3.5	4						2			3		3			3					3		4	1		3.5		3	2
146	4							2	1			4	3			2		4	1.5	1	2	2	5		3		4		1
147	4													4									4						
148	4	4		5		4.5	4	4	5	4	4	2	5	4				4	3.5					4	4	5	5		
149														2									4			1.5	4		
150				4				2			2		3						4	3	2			2	5	3.5		3	1
