epoch,accuracy,loss,val_accuracy,val_loss
0,0.637499988079071,1.003019094467163,0.887499988079071,0.3895077109336853
1,0.737500011920929,0.9039111137390137,0.8999999761581421,0.35019057989120483
2,0.8125,0.8060226440429688,0.887499988079071,0.31098634004592896
3,0.7250000238418579,0.8104483485221863,0.887499988079071,0.2516670525074005
4,0.8500000238418579,0.556660532951355,0.925000011920929,0.1972380429506302
5,0.887499988079071,0.6017821431159973,0.887499988079071,0.3097277283668518
6,0.8125,0.6138818264007568,0.8999999761581421,0.26483118534088135
7,0.8500000238418579,0.5557653307914734,0.8500000238418579,0.4197707772254944
8,0.800000011920929,0.6465817093849182,0.8500000238418579,0.44799748063087463
9,0.862500011920929,0.5260564088821411,0.875,0.3416869044303894
10,0.824999988079071,0.5978625416755676,0.875,0.39736199378967285
11,0.9125000238418579,0.41607531905174255,0.8125,0.47081899642944336
12,0.8374999761581421,0.6047391295433044,0.8500000238418579,0.4199817180633545
13,0.9125000238418579,0.3975217938423157,0.875,0.3771865963935852
14,0.8999999761581421,0.4534156322479248,0.8374999761581421,0.4528878331184387
