epoch,accuracy,loss,val_accuracy,val_loss
0,0.512499988079071,1.6023533344268799,0.737500011920929,0.8864196538925171
1,0.5249999761581421,1.4620431661605835,0.875,0.5807153582572937
2,0.637499988079071,1.3102307319641113,0.762499988079071,0.66021329164505
3,0.699999988079071,1.2082186937332153,0.8125,0.5664335489273071
4,0.762499988079071,1.0262763500213623,0.887499988079071,0.4387332499027252
5,0.800000011920929,0.9393628835678101,0.887499988079071,0.43012484908103943
6,0.8125,0.9198459386825562,0.862500011920929,0.44654831290245056
7,0.7124999761581421,1.0335203409194946,0.8374999761581421,0.544157862663269
8,0.875,0.8000232577323914,0.8999999761581421,0.3300762176513672
9,0.800000011920929,0.9290143847465515,0.8374999761581421,0.5405855774879456
10,0.862500011920929,0.7913476228713989,0.8999999761581421,0.3876679539680481
11,0.7875000238418579,0.8477257490158081,0.887499988079071,0.3536923825740814
12,0.8374999761581421,0.8281939625740051,0.8999999761581421,0.3302241265773773
13,0.862500011920929,0.8004420399665833,0.9750000238418579,0.25425204634666443
14,0.8125,0.6630572080612183,0.875,0.5278606414794922
15,0.9125000238418579,0.5554231405258179,0.949999988079071,0.30687305331230164
16,0.7875000238418579,0.712770938873291,0.862500011920929,0.5351742506027222
17,0.887499988079071,0.6575260162353516,0.824999988079071,0.5825926065444946
18,0.824999988079071,0.8242912292480469,0.8999999761581421,0.43054938316345215
19,0.875,0.5965003371238708,0.9624999761581421,0.2624940574169159
20,0.862500011920929,0.7383326888084412,0.875,0.41021791100502014
21,0.8374999761581421,0.6794126033782959,0.925000011920929,0.40364399552345276
22,0.8999999761581421,0.5647968053817749,0.8999999761581421,0.4045979976654053
23,0.887499988079071,0.6619433760643005,0.8500000238418579,0.34269818663597107
