epoch,accuracy,loss,val_accuracy,val_loss
0,0.3375000059604645,2.2946677207946777,0.6499999761581421,1.1623376607894897
1,0.5375000238418579,1.953953742980957,0.6625000238418579,1.0048274993896484
2,0.637499988079071,1.4799611568450928,0.737500011920929,0.7973023653030396
3,0.625,1.6873220205307007,0.675000011920929,0.8342306017875671
4,0.7250000238418579,1.3584949970245361,0.75,0.7906047701835632
5,0.6499999761581421,1.588841438293457,0.75,0.7572440505027771
6,0.6499999761581421,1.4878326654434204,0.75,0.754761278629303
7,0.7749999761581421,1.1307873725891113,0.7749999761581421,0.7025163769721985
8,0.7250000238418579,1.2094933986663818,0.8999999761581421,0.5585230588912964
9,0.7749999761581421,1.2198415994644165,0.8125,0.739956259727478
10,0.824999988079071,1.0508931875228882,0.8125,0.6824072599411011
11,0.737500011920929,1.2165026664733887,0.800000011920929,0.7490502595901489
12,0.8374999761581421,1.073440670967102,0.762499988079071,0.8986467123031616
13,0.737500011920929,1.119853138923645,0.75,0.905980110168457
14,0.8374999761581421,0.9065801501274109,0.75,0.7872300148010254
15,0.8374999761581421,0.8066096305847168,0.875,0.5873624086380005
16,0.737500011920929,1.0019428730010986,0.7124999761581421,0.693207859992981
17,0.8125,0.8981122970581055,0.7875000238418579,0.6989359855651855
18,0.737500011920929,1.0305283069610596,0.7875000238418579,0.7155759334564209
