epoch,accuracy,loss,val_accuracy,val_loss
0,0.75,0.7961059808731079,0.925000011920929,0.20516744256019592
1,0.625,0.9611970782279968,0.9125000238418579,0.2974913716316223
2,0.7875000238418579,0.626214861869812,0.875,0.36052751541137695
3,0.7250000238418579,0.7025927305221558,0.862500011920929,0.4608386158943176
4,0.8999999761581421,0.3474016785621643,0.8999999761581421,0.2207186222076416
5,0.8999999761581421,0.311017781496048,0.887499988079071,0.3034231960773468
6,0.9375,0.24718698859214783,0.949999988079071,0.16854090988636017
7,0.9375,0.22854936122894287,0.9375,0.21962428092956543
8,0.949999988079071,0.23363831639289856,0.949999988079071,0.13517385721206665
9,0.9624999761581421,0.13830193877220154,0.875,0.30243462324142456
10,0.9750000238418579,0.19545549154281616,0.949999988079071,0.14554892480373383
11,0.9125000238418579,0.2546609938144684,0.887499988079071,0.27133384346961975
12,0.8999999761581421,0.2653152048587799,0.887499988079071,0.24135658144950867
13,0.925000011920929,0.23485121130943298,0.9125000238418579,0.2091563493013382
14,0.887499988079071,0.29511094093322754,0.949999988079071,0.22244413197040558
15,0.9375,0.21313099563121796,0.9624999761581421,0.15507623553276062
16,0.887499988079071,0.2861400544643402,0.875,0.3225223422050476
17,0.8999999761581421,0.25610828399658203,0.8999999761581421,0.26367324590682983
18,0.9624999761581421,0.17277279496192932,0.9125000238418579,0.22528305649757385
